,i,j,MI_S,MI_B,delta
597,WW_pt,jj_lnu_dPhi,0.18953212057079566,0.16222251032164442,0.02730961024915124
78,ak4_jet0_pt,min_b_l_dR,0.01705379497094428,0.044245707249409905,0.027191912278465624
1118,blnu_lnu_mT,trijet_mInv,0.04555178632580327,0.018566815497604677,0.026984970828198594
1168,jj_lnu_dEta,ak4_jet0_eta,0.055752731983470374,0.08270601859406947,0.026953286610599092
1428,WW_mT,met_pt,0.18069151137710524,0.15386124969243242,0.026830261684672813
1018,jj_l_dPhi,blnu_lnu_mT,0.05177401167601918,0.025055423666029912,0.026718588009989268
543,min_b_lnu_dPhi,bjets_dEta,0.027141285044876475,0.0005662176126393359,0.02657506743223714
1422,WW_mT,trijet_bijet_dPhi,0.038337106713224205,0.06490012086373526,0.02656301415051105
1574,nAK4_nonbtag,all_sT,0.04205372605295743,0.06855579145203074,0.026502065399073307
649,bjet_bijet_dPhi,bjets_dR,0.1347869175945125,0.10832359051208121,0.026463327082431293
1972,trijet_bijet_dPhi,bjets_mbb,0.031813254397457635,0.005351988909776718,0.026461265487680918
727,all_mT,jj_l_dEta,0.04159766227994209,0.015166394958954332,0.02643126732098776
157,all_mInv,nAK4_nonbtag,0.055062868856877875,0.08124867609077951,0.02618580723390164
502,min_b_lnu_dPhi,trijet_bijet_dR,0.04049415339617359,0.014400845432747222,0.02609330796342637
23,bjet0_pt,jj_l_dR,0.026756132134127864,0.0006839534964331873,0.026072178637694676
1140,blnu_lnu_mT,bjets_mean_pt,0.03610857430212153,0.010054180874140527,0.026054393427981
1240,jj_lnu_dR,bjets_mbb,0.027707611213717644,0.0016636040826793486,0.026044007131038296
702,ak4_jet2_pt,bjets_dPhi,0.030028186517470246,0.003998484658763877,0.02602970185870637
369,min_b_l_dPhi,bjets_dEta,0.02665313255802165,0.0006614918110929291,0.02599164074692872
628,bjet_bijet_dPhi,bjet1_pt,0.028166728330670278,0.0022289390706061243,0.025937789260064154
27,bjet0_pt,blnu_bl_mInv,0.04068826497353317,0.01479302488740131,0.025895240086131862
1278,trijet_pt,bjets_dEta,0.026211894991326135,0.00034609674637253035,0.025865798244953605
1276,trijet_pt,jj_lnu_dPhi,0.1267624527005585,0.10093672032422876,0.025825732376329735
152,all_mInv,jj_l_dEta,0.04101289350167085,0.015217359912816145,0.025795533588854707
1664,bjet1_pt,all_jets_HT,0.10637970557355515,0.13217518046193166,0.02579547488837651
1973,trijet_bijet_dPhi,blnu_pt,0.03865012444499856,0.06426106427729289,0.02561093983229433
54,bjet0_pt,bjets_dR,0.03457607858451325,0.009048228546792186,0.025527850037721067
9,bjet0_pt,bjet_bijet_dPhi,0.027224785992151775,0.0018234127441611667,0.02540137324799061
755,all_mT,bjets_dPhi,0.02710751367575137,0.001733391367197499,0.025374122308553872
886,min_b_l_dR,nAK4_btag,0.031729570826439554,0.006376846543292625,0.02535272428314693
732,all_mT,nAK4_nonbtag,0.05584270694336604,0.08118849005095122,0.02534578310758518
1758,ak4_jet1_eta,trijet_bijet_dEta,0.03567266704630965,0.010433396484557517,0.025239270561752132
1827,ak4_jet3_eta,bb_lnu_dEta,0.02541312554598243,0.05064985064230029,0.02523672509631786
2050,bjets_mean_pt,bb_lnu_dR,0.032076349155628264,0.006897215951299079,0.025179133204329185
304,ak4_jet1_bscore,bjets_dR,0.026932897585431704,0.0017680429860304075,0.025164854599401296
480,ak4_jet1_pt,bjets_dPhi,0.032751158258125995,0.007594377107503169,0.025156781150622826
2093,bjets_dR,bb_lnu_dPhi,0.029968443388832297,0.00482488628544938,0.025143557103382917
753,all_mT,met_pt,0.1103219080231343,0.08523527415703577,0.025086633866098523
757,all_mT,all_sT,0.6622672052877455,0.6873145333475251,0.025047328059779606
2095,bjets_dR,bjet_bijet_dR,0.07825590224743746,0.053283968353598596,0.024971933893838866
654,bjet_bijet_dPhi,bjets_dEta,0.025596687535178842,0.0006835264725611606,0.02491316106261768
178,all_mInv,met_pt,0.1090010744850135,0.08413242227017617,0.024868652214837333
1103,trijet_bijet_dR,bb_lnu_dPhi,0.09465947679759373,0.06987151502826348,0.02478796176933025
180,all_mInv,bjets_dPhi,0.026572107292587355,0.0018039663637409754,0.02476814092884638
553,WW_pt,ak4_jet0_bscore,0.03000543890699307,0.00524276876530682,0.02476267014168625
331,min_b_l_dPhi,jj_lnu_dR,0.039548822301930464,0.01491445022207636,0.024634372079854104
914,min_b_l_dR,bjets_dEta,0.03077260049915433,0.006187693469171241,0.02458490702998309
317,min_b_l_dPhi,min_b_lnu_dPhi,0.2997726872581631,0.2752006940222722,0.024571993235890877
1937,lep0_eta,bb_lnu_dEta,0.043005076639123264,0.018434725612081492,0.024570351027041772
1098,trijet_bijet_dR,bjets_dPhi,0.026233327543187804,0.0016637391957925046,0.0245695883473953
1964,trijet_bijet_dPhi,all_sT,0.021851535666168067,0.04636439685288299,0.02451286118671492
1501,trijet_mInv,met_pt,0.03975926665179029,0.015340521851911645,0.024418744799878645
370,min_b_l_dPhi,bjet_bijet_dR,0.0371073040814463,0.0127317855964907,0.024375518484955602
1514,trijet_mInv,blnu_pt,0.06277469019187112,0.0384760554852867,0.024298634706584422
1395,jj_l_dEta,trijet_bijet_dEta,0.0982184035427516,0.07396378176618576,0.024254621776565843
1210,jj_lnu_dR,bjet1_pt,0.026299305296704246,0.002112842098720053,0.024186463197984193
1672,bjet1_pt,jj_lnu_dPhi,0.02659515432118272,0.0024249775504091124,0.024170176770773606
644,bjet_bijet_dPhi,all_jets_HT,0.028426216339119195,0.0042799243418718755,0.02414629199724732
663,ak4_jet2_pt,min_b_l_dR,0.011258303826111957,0.03536927691273646,0.024110973086624504
676,ak4_jet2_pt,blnu_bl_mInv,0.03462504523500563,0.010535848142120625,0.02408919709288501
28,bjet0_pt,trijet_mInv,0.05032729615068551,0.0262911857663283,0.024036110384357212
